datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2
2006-12-16 18:00:00,217.932,4.802,14074.81,936.0,0.0,403.0
2006-12-16 19:00:00,204.014,5.114,13993.95,870.2,0.0,86.0
2006-12-16 20:00:00,196.114,4.506,14044.29,835.0,0.0,0.0
2006-12-16 21:00:00,183.388,4.6,14229.52,782.8,0.0,25.0
2006-12-16 22:00:00,132.008,3.37,14325.6,571.4,0.0,8.0
2006-12-16 23:00:00,123.696,4.286,14437.18,533.8,0.0,5.0
2006-12-17 00:00:00,112.948,6.146,14457.71,487.6,0.0,28.0
2006-12-17 01:00:00,200.964,8.216,14426.9,854.8,0.0,1514.0
2006-12-17 02:00:00,95.236,4.694,14749.12,412.2,0.0,34.0
2006-12-17 03:00:00,99.732,4.772,14670.81,432.40000000000003,0.0,46.0
2006-12-17 04:00:00,132.946,5.608,14631.33,560.0,0.0,34.0
2006-12-17 05:00:00,119.804,3.614,14622.61,514.0,0.0,10.0
2006-12-17 06:00:00,78.19800000000001,5.69,14648.49,331.8,0.0,43.0
2006-12-17 07:00:00,97.202,3.588,14510.74,408.2,0.0,10.0
2006-12-17 08:00:00,113.434,7.114,14478.69,483.0,0.0,45.0
2006-12-17 09:00:00,152.944,4.7540000000000004,14330.869999999999,658.4,0.0,439.0
2006-12-17 10:00:00,217.734,11.676,14126.46,932.0,533.0,1341.0
2006-12-17 11:00:00,148.26,12.042,14215.48,629.6,567.0,301.0
2006-12-17 12:00:00,114.952,17.642,14267.08,488.2,0.0,32.0
2006-12-17 13:00:00,99.646,10.292,14395.24,415.4,0.0,3.0
2006-12-17 14:00:00,125.55799999999999,15.444,14642.74,516.0,0.0,20.0
2006-12-17 15:00:00,179.124,5.316,14428.85,745.6,418.0,12.0
2006-12-17 16:00:00,199.562,5.588,14206.91,840.4,515.0,4.0
2006-12-17 17:00:00,204.406,9.998,14053.79,870.6,0.0,28.0
2006-12-17 18:00:00,221.826,8.104,14062.34,945.0,0.0,0.0
2006-12-17 19:00:00,174.504,15.91,13991.74,751.0,0.0,31.0
2006-12-17 20:00:00,201.69,16.29,14185.59,856.6,0.0,67.0
2006-12-17 21:00:00,182.446,16.078,14346.25,763.0,0.0,72.0
2006-12-17 22:00:00,91.08,14.122,14531.539999999999,383.0,0.0,25.0
2006-12-17 23:00:00,26.264,13.308,14744.04,119.8,0.0,48.0
2006-12-18 00:00:00,16.582,5.944,14676.45,73.4,0.0,2.0
2006-12-18 01:00:00,18.798,9.114,14611.16,85.0,0.0,35.0
2006-12-18 02:00:00,17.068,6.544,14813.460000000001,75.39999999999999,0.0,0.0
2006-12-18 03:00:00,18.596,8.866,14743.91,84.0,0.0,34.0
2006-12-18 04:00:00,61.58,4.8,14730.42,250.6,0.0,4.0
2006-12-18 05:00:00,17.61,7.316,14715.19,77.6,0.0,28.0
2006-12-18 06:00:00,36.6,6.774,14742.26,156.0,0.0,5.0
2006-12-18 07:00:00,147.026,9.18,14457.74,613.2,5.0,27.0
2006-12-18 08:00:00,124.928,4.4239999999999995,14272.82,523.6,748.0,2.0
2006-12-18 09:00:00,97.76,5.11,14244.28,409.0,310.0,29.0
2006-12-18 10:00:00,78.578,3.17,14344.83,325.6,0.0,0.0
2006-12-18 11:00:00,93.716,7.64,14386.26,388.2,0.0,31.0
2006-12-18 12:00:00,105.364,5.238,14554.8,434.8,0.0,0.0
2006-12-18 13:00:00,100.924,7.59,14517.25,416.4,0.0,32.0
2006-12-18 14:00:00,103.982,2.958,14531.79,425.8,0.0,0.0
2006-12-18 15:00:00,107.05799999999999,6.244,14545.41,438.6,0.0,31.0
2006-12-18 16:00:00,116.958,12.266,14542.84,485.8,0.0,0.0
2006-12-18 17:00:00,129.294,5.868,14323.75,539.6,0.0,20.0
2006-12-18 18:00:00,144.152,4.746,14200.11,605.0,0.0,15.0
2006-12-18 19:00:00,156.87,12.046,14119.75,671.4,0.0,546.0
2006-12-18 20:00:00,183.034,7.2219999999999995,14071.460000000001,782.8,0.0,30.0
2006-12-18 21:00:00,130.184,4.304,14255.45,554.4,0.0,0.0
2006-12-18 22:00:00,104.328,6.478,14412.69,435.0,0.0,531.0
2006-12-18 23:00:00,92.836,7.95,14559.56,396.0,0.0,1219.0
2006-12-19 00:00:00,50.228,5.57,14524.27,212.6,0.0,58.0
2006-12-19 01:00:00,21.182,4.552,14508.5,94.2,0.0,15.0
2006-12-19 02:00:00,19.634,6.344,14746.77,87.8,0.0,38.0
2006-12-19 03:00:00,18.498,4.38,14667.789999999999,81.8,0.0,10.0
2006-12-19 04:00:00,19.67,6.148,14651.19,90.0,0.0,43.0
2006-12-19 05:00:00,18.4,4.252,14584.55,82.8,0.0,10.0
2006-12-19 06:00:00,47.78,6.4079999999999995,14521.78,208.0,0.0,41.0
2006-12-19 07:00:00,107.138,5.066,14365.57,452.6,0.0,0.0
2006-12-19 08:00:00,232.742,7.346,14168.78,992.4,561.0,1571.0
2006-12-19 09:00:00,97.066,5.248,14374.34,417.8,278.0,862.0
2006-12-19 10:00:00,26.228,7.546,14538.34,116.6,0.0,85.0
2006-12-19 11:00:00,139.298,5.072,14419.5,591.8,0.0,2061.0
2006-12-19 12:00:00,25.84,7.962,14577.52,115.4,0.0,175.0
2006-12-19 13:00:00,18.028,4.906,14616.15,77.6,0.0,37.0
2006-12-19 14:00:00,18.128,7.132,14816.75,80.0,0.0,45.0
2006-12-19 15:00:00,25.282,4.852,14504.44,108.4,0.0,10.0
2006-12-19 16:00:00,82.328,5.5,14562.86,336.8,0.0,43.0
2006-12-19 17:00:00,126.69,8.666,14316.4,530.6,0.0,10.0
2006-12-19 18:00:00,132.282,6.198,14258.43,555.4,0.0,44.0
2006-12-19 19:00:00,110.526,4.376,14464.8,456.2,0.0,3.0
2006-12-19 20:00:00,176.432,14.242,14479.69,748.8,0.0,1614.0
2006-12-19 21:00:00,86.572,6.39,14452.2,380.6,0.0,747.0
2006-12-19 22:00:00,43.2,8.76,14560.76,180.8,0.0,70.0
2006-12-19 23:00:00,23.022,4.026,14797.63,95.0,0.0,10.0
2006-12-20 00:00:00,27.59,8.76,14748.68,119.2,0.0,43.0
2006-12-20 01:00:00,15.52,3.4,14628.32,66.8,0.0,10.0
2006-12-20 02:00:00,47.062,7.416,14734.05,194.6,0.0,42.0
2006-12-20 03:00:00,18.602,4.108,14769.05,80.6,0.0,10.0
2006-12-20 04:00:00,17.34,5.846,14786.02,74.8,0.0,28.0
2006-12-20 05:00:00,15.762,4.632,14687.73,67.2,0.0,12.0
2006-12-20 06:00:00,17.016,3.994,14644.44,70.8,0.0,0.0
2006-12-20 07:00:00,91.598,11.538,14598.9,386.2,0.0,31.0
2006-12-20 08:00:00,175.056,5.292,14387.54,732.2,0.0,577.0
2006-12-20 09:00:00,83.13199999999999,6.502,14587.37,337.59999999999997,0.0,32.0
2006-12-20 10:00:00,90.61800000000001,2.83,14434.83,375.0,0.0,194.0
2006-12-20 11:00:00,173.544,9.912,14430.79,724.4,0.0,1510.0
2006-12-20 12:00:00,85.262,4.328,14556.38,349.6,0.0,5.0
2006-12-20 13:00:00,85.704,6.61,14548.06,352.8,0.0,28.0
2006-12-20 14:00:00,77.694,5.56,14642.07,319.2,0.0,3.0
2006-12-20 15:00:00,16.868,4.2860000000000005,14743.15,74.2,0.0,12.0
2006-12-20 16:00:00,28.106,6.55,14646.81,124.2,0.0,19.0
2006-12-20 17:00:00,34.410000000000004,4.642,14575.24,142.6,0.0,0.0
2006-12-20 18:00:00,170.21,9.478,14354.44,713.6,0.0,31.0
2006-12-20 19:00:00,194.918,5.2620000000000005,14204.39,822.6,0.0,0.0
2006-12-20 20:00:00,214.528,15.932,14180.71,908.2,0.0,31.0
2006-12-20 21:00:00,218.764,9.629999999999999,14159.54,924.2,0.0,0.0
2006-12-20 22:00:00,183.538,5.286,14331.63,765.1999999999999,0.0,22.0
